session,session,time,scenario
1550515898044-0.kdjn7qly3q,1550515898044-0.kdjn7qly3q,2019-02-18 18:51:38.044,superposed-static
1550515924044-0.6jquujdrnm7,1550515924044-0.6jquujdrnm7,2019-02-18 18:52:04.044,superposed-static
1550515933497-0.pw5tcgvl55l,1550515933497-0.pw5tcgvl55l,2019-02-18 18:52:13.497,superposed-static
1550515943734-0.pz9as6m6lt,1550515943734-0.pz9as6m6lt,2019-02-18 18:52:23.734,superposed-static
1550515952436-0.1a96yqpm7bz,1550515952436-0.1a96yqpm7bz,2019-02-18 18:52:32.437,superposed-static
1550516061264-0.pxim5yzy19,1550516061264-0.pxim5yzy19,2019-02-18 18:54:21.264,superposed-static
1550516079955-0.8fm052ksmev,1550516079955-0.8fm052ksmev,2019-02-18 18:54:39.955,superposed-static
1550516080854-0.qgnwyubhjak,1550516080854-0.qgnwyubhjak,2019-02-18 18:54:40.854,superposed-static
1550516081753-0.u8ffaklszod,1550516081753-0.u8ffaklszod,2019-02-18 18:54:41.753,superposed-static
1550516084085-0.0km742qnf7d,1550516084085-0.0km742qnf7d,2019-02-18 18:54:44.085,superposed-static
1550516106123-0.x114cigopk,1550516106123-0.x114cigopk,2019-02-18 18:55:06.123,superposed-static
1550516115215-0.uob60mx3ftl,1550516115215-0.uob60mx3ftl,2019-02-18 18:55:15.216,superposed-static
1550516127450-0.swqfxhpnkzh,1550516127450-0.swqfxhpnkzh,2019-02-18 18:55:27.450,superposed-static
1550516147178-0.ni3ijna7rhc,1550516147178-0.ni3ijna7rhc,2019-02-18 18:55:47.178,superposed-static
1550516153700-0.pfhpuev670h,1550516153700-0.pfhpuev670h,2019-02-18 18:55:53.701,superposed-static
1550572077858-0.rahqnuts569,1550572077858-0.rahqnuts569,2019-02-19 10:27:57.858,superposed-animated
1550572213878-0.fc5osvb7mg7,1550572213878-0.fc5osvb7mg7,2019-02-19 10:30:13.879,superposed-animated
1550572365696-0.011j2oeaxd0i,1550572365696-0.011j2oeaxd0i,2019-02-19 10:32:45.696,juxtaposed-static
1550579654685-0.p6uisi4ae9n,1550579654685-0.p6uisi4ae9n,2019-02-19 12:34:14.686,juxtaposed-animated
1550579676249-0.cffax86sm8f,1550579676249-0.cffax86sm8f,2019-02-19 12:34:36.249,juxtaposed-animated
1550579693791-0.6pqndvhzz7y,1550579693791-0.6pqndvhzz7y,2019-02-19 12:34:53.791,juxtaposed-animated
