,time,user,session,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,resolution,graph,position,scenario,story,globalPosition,minTime,timeDelta
33565,1550579928339,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4942857142857143,juxtaposed-animated,demographics,,1550579909786,18.553
33566,1550579928341,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.73,juxtaposed-animated,demographics,,1550579909786,18.555
33567,1550579928354,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06803921568627451,juxtaposed-animated,demographics,0.06803921568627451,1550579909786,18.568
33568,1550579928358,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4957142857142857,juxtaposed-animated,demographics,,1550579909786,18.572
33569,1550579928359,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.735,juxtaposed-animated,demographics,,1550579909786,18.573
33570,1550579928374,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06813725490196078,juxtaposed-animated,demographics,0.06813725490196078,1550579909786,18.588
33571,1550579928377,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4964285714285714,juxtaposed-animated,demographics,,1550579909786,18.591
33572,1550579928378,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.7375,juxtaposed-animated,demographics,,1550579909786,18.592
33573,1550579928394,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06852941176470588,juxtaposed-animated,demographics,0.06852941176470588,1550579909786,18.608
33574,1550579928397,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4992857142857143,juxtaposed-animated,demographics,,1550579909786,18.611
